Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2003     7    12    14    14    40.51    35.891160  -120.438460    10.63     1.36     1.45       109.26        82.92   21292148
2003     7    24    12    56    53.74    36.035720  -120.591000     8.31     1.43     1.31         7.20        31.69   21294435
2003     7    25     5    43    18.63    36.034700  -120.590030     8.29     2.52     2.46       253.97        41.82   21294631
2003     7    25     9    30     0.12    36.035680  -120.591090     8.06     1.25     1.28        33.39        61.07   21294679
2003     7    25    12    27    55.64    36.034800  -120.591440     8.01     1.76     1.72        24.31        35.90   21294708
2003     7    26    21     9    37.95    35.999260  -120.557630     4.47     1.04     1.11         0.82        21.13   21295266
2003     7    27     5    28    51.53    36.035780  -120.590920     8.31     1.28     1.29        23.01        52.82   21295382
2003     7    27    11    30    52.70    35.999910  -120.558160     4.42     1.76     1.75        13.94        29.83   21295490
2003     7    27    12     8    40.19    35.999660  -120.557920     4.43     1.91     1.94        20.70        30.06   21295497
2003     7    31    13    18    52.09    36.056430  -120.606220     9.81     1.46     1.50        40.16        54.52   21296404
2003     8     1    15     7    36.54    36.053770  -120.607500     9.66     1.88     2.07        14.56        27.41   21296699
2003     8    12    15    25     7.48    35.968730  -120.517710    11.46     1.05     1.19        41.16        77.64   21299061
2003     8    13    13     4     0.84    36.035280  -120.590580     8.12     2.01     2.01        10.47        22.05   21299269
2003     8    13    14    53    41.99    36.035620  -120.591110     8.08     1.63     1.54        32.12        44.23   21299283
2003     8    14    21    53     0.68    36.054680  -120.607390     6.77     1.88     1.81       157.68        60.92   21299675
2003     8    19    20    31    19.06    35.998840  -120.560630     3.30     1.63     1.72         9.50        29.47   21300894
2003     8    20    13    30    43.63    35.948660  -120.497780     4.75     0.68     1.12         9.37        64.72   21301095
2003     8    20    18    46    14.72    35.924890  -120.472010     5.50     0.94     1.06         4.66        40.99   21301139
2003     8    20    21     0    11.90    35.926080  -120.473200     5.06     1.00     1.20         3.07        34.13   21301171
2003     8    28     0    11    12.76    35.925100  -120.472280     5.52     2.96     3.04        27.38        13.76   21303302
2003     8    28     0    17    41.87    35.925500  -120.472750     5.49     0.98     1.03         8.69        48.89   21303304
2003     8    28     0    30    35.48    35.924460  -120.471200     5.55     0.76     1.07        14.20        69.48   21303308
2003     8    28     9     7    42.89    35.924120  -120.470700     5.32     1.23     1.21        31.34        60.85   21303467
2003     8    29     4     4    16.71    35.994620  -120.555030     8.43     1.31     1.27        16.29        45.85   21303709
2003     8    29     6    20    47.82    35.925760  -120.473290     5.39     1.74     1.74        84.63        55.37   21303723
2003     8    29     7    53    28.17    35.925960  -120.473540     5.35     1.04     1.03        13.15        53.62   21303734
2003     8    29    12    16    20.25    35.969340  -120.522810     3.99     1.03     1.11        14.86        56.29   21303770
2003     8    30     5    49     4.44    36.009750  -120.521910     5.89     1.08     1.19        16.84        56.34   21303913
2003     8    30     7    48    52.93    35.925860  -120.473420     5.35     1.56     1.53        32.49        46.73   21303925
2003     8    30    20    54    45.77    35.992970  -120.552680     7.96     0.92     1.26         9.71        53.23   21304046
2003     9     1    23    52    34.20    35.979190  -120.536720     3.31     0.97     1.28         6.86        45.48   21304350
2003     9     2    16    16    36.62    35.922410  -120.470600     5.86     0.53     1.07        35.06       113.32   21304431
2003     9     3    12    44    22.16    36.020470  -120.577930     4.83     1.35     1.25        10.79        38.77   21304571
2003     9     3    21    33    24.20    35.929140  -120.477640     4.84     1.98     1.92         6.33        19.10   21304826
2003     9     4     6     2    44.69    35.938230  -120.486120     5.57     1.03     1.02        29.98        70.85   21304946
2003     9     4     7    12    25.23    36.002700  -120.558150     5.87     0.99     1.11         8.09        47.33   21304952
2003     9     5     3    42    48.52    35.928800  -120.477160     4.65     1.05     1.04         6.76        42.31   21305305
2003     9     7     5    38    44.17    36.046800  -120.601410     9.80     1.22     1.29        30.31        60.98   21305964
